D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1339,F,ASSAULT PHY INJ LE/PROB/PAR OF,14-34.7(C)(1),20111201,99999999,H,20231201,99999999,No,20231201,0,
*,1340,M,ASSAULT WITH A DEADLY WEAPON,14-33(B)(1),00000000,19951130,1,19941001,19951130,No,19951130,1,
 ,1341,F,ASSAULT PHY INJ DETENTION EMP,14-34.7(C)(2),20111201,99999999,I,20111201,20231130,No,20231130,1,
 ,1341,F,ASSAULT PHY INJ DETENTION EMP,14-34.7(C)(2),20111201,99999999,H,20231201,99999999,No,20231201,0,
*,1342,F,AWDW ON OFFICER,14-34.2,00000000,19951130,F,19941001,19951130,No,19951130,1,
 ,1343,F,ASSAULT PHYS INJ NATL GUARD,14-34.7(C)(3),20151201,99999999,I,20151201,20231130,No,20231130,1,
 ,1343,F,ASSAULT PHYS INJ NATL GUARD,14-34.7(C)(3),20151201,99999999,H,20231201,99999999,No,20231201,0,
 ,1344,F,AWDW INTENT TO KILL,14-32(C),00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1345,M,ASSAULT ON A PREGNANT WOMAN,14-33(C)(2A),20231201,99999999,A1,20231201,99999999,No,20231201,0,
 ,1346,F,AWDW SERIOUS INJURY,14-32(B),00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1347,F,ASSAULT ISBI EMER PERSONNEL,14-288.9(E),20231201,99999999,E,20231201,99999999,No,20231201,0,
 ,1348,F,AWDWIKISI,14-32(A),00000000,99999999,C,19941001,99999999,No,19941001,0,
 ,1349,M,ASLT ATT SER INJ MINOR PRESENT,14-33(D),20031201,20071018,1,20031201,99999999,No,20071018,1,
 ,1350,M,ASLT INF SER INJ MINOR PRESENT,14-33(D),20031201,99999999,A1,20031201,99999999,No,20031201,0,
 ,1351,M,AWDW MINOR PRESENT,14-33(D),20031201,99999999,A1,20031201,99999999,No,20031201,0,
*,1352,M,ASSAULT ON COURT OFFICER,14-33(B)(5),00000000,19911001,A1, , ,No,19911001,1,
*,1353,M,ASSAULT ON SCHOOL TEACHER,14-33(B)(6),00000000,19911001,A1, , ,No,19911001,1,
*,1354,M,ASSAULT/AFFRAY,14-33,00000000,19910408,2, , ,No,19910408,1,
*,1355,M,ASSAULT ON A GOVT OFFICIAL,14-33(B)(8),00000000,19951130,1,19941001,19951130,No,19951130,1,
 ,1356,F,AWDW GOVERNMENT OFFICIAL,14-34.2,00000000,20231130,F,19941001,20231130,No,20231130,1,
 ,1357,M,SIMPLE AFFRAY,14-33(A),00000000,99999999,1,19941001,19951130,No,19951130,1,
 ,1357,M,SIMPLE AFFRAY,14-33(A),00000000,99999999,2,19951201,99999999,No,19951201,0,
 ,1358,M,ASSAULT - SPORTS OFFICIAL,14-33(B)(9),00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,1359,F,ASLT FIREARM/DW COMP/CAMP POL,14-34.2,00000000,20231130,F,19941001,20231130,No,20231130,1,
 ,1360,F,MALICIOUS CASTRATION,14-28,00000000,99999999,C,19941001,99999999,No,19941001,0,
 ,1361,F,ASSAULT LEO/PO SER INJ,14-34.7(A),19971201,99999999,F,19971201,20231130,No,20231130,1,
 ,1361,F,ASSAULT LEO/PO SER INJ,14-34.7(A),19971201,99999999,E,20231201,99999999,No,20231201,0,
 ,1362,F,CASTRATION WITHOUT MALICE,14-29,00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1363,F,ASSAULT NATL GUARD SER INJ,14-34.7(A1),20151201,99999999,F,20151201,20231130,No,20231130,1,
 ,1363,F,ASSAULT NATL GUARD SER INJ,14-34.7(A1),20151201,99999999,E,20231201,99999999,No,20231201,0,
 ,1364,F,MAIMING WITHOUT MALICE,14-29,00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1365,F,ASSAULT DETENT EMP SER INJ,14-34.7(B),19971201,99999999,F,19971201,20231130,No,20231130,1,
 ,1365,F,ASSAULT DETENT EMP SER INJ,14-34.7(B),19971201,99999999,E,20231201,99999999,No,20231201,0,
 ,1366,F,MALICIOUS MAIMING,14-30,00000000,99999999,C,19941001,99999999,No,19941001,0,
 ,1368,M,SIMPLE ASSAULT,14-33(A),00000000,99999999,1,19941001,19951130,No,19951130,1,
 ,1368,M,SIMPLE ASSAULT,14-33(A),00000000,99999999,2,19951201,99999999,No,19951201,0,
 ,1370,F,THROWING ACID OR ALKALI,14-30.1,00000000,99999999,E,19941001,99999999,No,19941001,0,
*,1371,M,NEGLIGENT HUNTING,113-290.1,00000000,19940606,1, , ,No,19940606,1,
 ,1372,F,ADULTERATED OR MISBRANDED FOOD,14-34.4(A),00000000,99999999,C,19941001,99999999,No,19941001,0,
